Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1810 - July,Liverpool,Misc (press gang),"Gathered on Queen's Dock, armed themselves with staves and proceeded to rendez-vous houses where they liberated some seamen, broke windows and furniture. Dispersed by police and militia",0,0,0,Rendez-vous houses,Public,Both,No,No,Cooper's rown and Strand Street,"Cooper's Crown, Liverpool, UK",NA,NA,Rendez vous house,Rendez vous house,Rendez vous house,Rendez vous house,No,Hours,NA,??,,1810-07,1810,July,NA,No
1815 - April,Liverpool,Misc (soldiers),"Knocking on doors, ringing bells, destroying street lamps.
Throwing stones at windows of the Adjunct of the Royal Berkshire Militia
Rioting in the mess room at St Domingo fort",0,0,0,Locals,Public,Both,No,No,"Everton and borough of Liverpool
Near the St Domingo Barracks

St Domingo Barracks","St Domingo Barracks, Liverpool, UK",53.426385,-2.96128,Street,,Street,Streets and fields,No,Hours (repeated over days),NA,Evening,N,1815-04,1815,April,NA,No
1816 - June,Liverpool,Political,Drunken violence by 'men in red ribbons',0,0,0,Election mobs,Public,??,No,No,??,NA,NA,NA,Street,,Street,Streets and fields,No,Days,NA,??,,1816-06,1816,June,NA,Election
1819 - February 22 & 23,Liverpool,Misc (anti-police),"Rescuing prisoners. Fighting with police. Attacking the Bridewell. Pavement pulled up, building attacked, officers beaten and thrown in the water. Prisoners released and paraded around on shoulders of crowd.",1,0,0,The police,Public,Both,No,No,"Old Dock Gates, Darwen's weint, Bridewell and Hanover Street, The Docks, South Shore","Old Dock Gates, Liverpool, UK",53.4025,-2.9886,Street,,Street,Streets and fields,No,Days,1819-02-22,6pm till late (evening) and following morning,Y,1819-02,1819,February,Monday,No
1819 - July 12,Liverpool,Identity,"Orange Parade attacked by Catholics. Accompanied by band, 90 Orange in the parade.",0,0,0,Orange,Public,Both,No,No,Vauxhall,"Vauxhall, Liverpool, UK",53.4210556,-2.9893139,"Streets, pubs",,"Streets, pubs",Streets and fields,No,Hours,1819-07-12,??,,1819-07,1819,July,Monday,12th July
1820 - July 12,Liverpool,Identity,Orange Parade attacked by Catholics (Irish Catholic soldiers involved),0,0,0,Orange,Public,Both,No,No,??,??,NA,NA,Strees,,Strees,Streets and fields,No,Hours,1820-07-12,??,,1820-07,1820,July,Wednesday,12th July
1822 - July 12,Liverpool,Identity,"Orange lodges decide not to hold march but irish catholics went looking for fights in the public houses where celebrations were going on (this happens in 1821, 1822, 1823, and 1824)",0,0,0,Orange,Public,Both,No,No,??,??,NA,NA,Streets,,Streets,Streets and fields,No,Hours,1822-07-12,??,,1822-07,1822,July,Friday,12th July
1824 - July 1,Liverpool,Identity,Orange lodges celebrate battle of Boyne in pubs and again similar disorder,0,0,0,Orange,Public,Both,No,No,??,??,NA,NA,Pubs,,Pubs,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1824-07-01,??,,1824-07,1824,July,Thursday,12th July
1824 - December 13 & 15,Liverpool,Misc,"Hooting and demands to see the manager at theatre. Audience in upper seats an gallery threw oranges, apples onto stage and pit, seats torn up and thrown at the chandelier, audience in the pit fled, rioters pulled plaster off the walls and threw it at performers.
On Wednesday night same again. Benches thrown at stage. Several people arrestsed, two of them 'genteel looking young men'.",0,0,0,Theatre,Public,Both,No,Theatre manager,Liverpool Theatre Royal,"Liverpool Theatre Royal, Liverpool, UK",53.4074408,-2.981193,Theatre,Liverpool Theatre Royal,Theatre,"Places of leisure (pubs, theatres, football grounds etc)",No,Days,1824-12-13,Evening,N,1824-12,1824,December,Monday,No
1826 - June 12,Liverpool,Political,"Attacking anyone wearing red or supporting Husskinson MP (think he was a Tory), threw stones at the windows in a house on Castle Street where several women were exhibiting scarlet colours, destroyed several flags. At the hustings.",0,0,0,Tories,Both,Both,Yes,Tory supporters,The Hustings and Castle Street,"Castle Street, Liverpool, UK",53.4061593,-2.9907395,"Streets, homes",,"Streets, homes",Streets and fields,No,Hours,1826-06-12,Morning,Y,1826-06,1826,June,Monday,Election
1829 - July 10,Liverpool,Misc (anti-police),Attempted prisoner rescue,1,0,0,Police,Public,Both,No,No,Race ground,"Race ground, Liverpool, UK",53.4712102,-2.9541455,Race ground,,Race ground,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,1829-07-10,??,,1829-07,1829,July,Friday,No
1831 - October 22,Liverpool,Political,"Lord Sandon's parade attacked at various points by mud, stones, old shoes, dead cat, bottles and other missiles being thrown at him.
Constant din at his meeting beforehand",0,0,0,Lord Sandon's parade,Public,Both,No,Lord Sandon,"Castle Street, Lord Street, Duke Street","Castle Street, Liverpool, UK",53.4061593,-2.9907395,Street,,Street,Streets and fields,No,Hours,1831-10-22,Day time,Y,1831-10,1831,October,Saturday,Election
1832 - May/June,Liverpool,Misc (Cholera),"""Crowds targeted the cholera hospitals, set up by the new local boards of health, and the palanquin carts which were rumoured to carry (p.133) stolen pauper bodies.10 The Anatomy Act was a connected cause. Passed during the same session as the Reform Act, the legislation allowed surgeons to claim the bodies of paupers who had died in workhouses or hospitals if those corpses were unclaimed for burial.11 Gothic literature such as Mary Shelleyâ€™s Frankenstein (1818) shaped popular imagination about dissection, and fears were heightened further by the infamous Burke and Hare murders in Edinburgh in 1828. Rumours arose that hospital governors would use the clause to their financial advantage, especially after the new poor law enabled the construction of workhouses as punitive institutions designed to increase efficiency. Marxist historians have argued that the populace regarded the Anatomy Act as a piece of class legislation; Gwyn Williams described it as â€˜the pursuit of the propertyless beyond the graveâ€™.12 As with radical reform protests, the issue revolved around the non-propertied and non-represented being excluded from the civic body politic. This time, they were excluded not just in life, but also in death. The main opponent of the bill in parliament was Henry Hunt, then MP for Preston, who thereby cemented connections between the issue, radical politics and the legacy of Peterloo.13

The cholera and anatomy rioters mirrored the tactics of food rioters, employing prior threats and community justice against perpetrators of immoral actions seen to have transgressed moral norms."" Navickas (2016) p. 131",0,0,0,Cholera hospitals,Public,Both,No,No,Across the town,"Across the town, Liverpool, UK",NA,NA,Cholera hospitals,,Cholera hospitals,Hospital,No,Weeks,NA,??,,1832-05,1832,May,NA,No
1835 - July 12 & 13,Liverpool,Identity,"Groups collecting together to stop Orange march, armed with bludgeons, daggers, pistols and weapons. Found no march and eventually dispersed to pubs looking for fights with Orangemen. Groups marching up and down Vauxhall Road. Prisoner rescue. Fighting with watchmen. Stone throwing. Releasing prisoners and destroying the lock-up. Breaking of windows. Assaulting 'respectable citizens'. Houses with yellow blinds or people with yellow handkerchiefs attacked.",1,0,0,"Orangemen, buildings, Police, lock-ups, private gentlemen",Public,Both,No,No,"Tithebarn Street, Vauxhall Road, Marybone, Ben Johnson Street, Great Crosshall Street, Vauxhall Street, Park Lane, Vauxhall Road","Tithebarn Street, Liverpool, UK",53.4096489,-2.989783,"Streets, pubs",,"Streets, pubs",Streets and fields,No,Days,1835-07-12,Evening (10pm) and daytime (11am/noon),Y,1835-07,1835,July,Sunday,12th July
1837 - March 10 & 11,Liverpool,Economic,Industrial dispute violence Mates vs Sailors. Power play. Marching. Not enforcing strike so much as intimidation,0,0,0,Mates vs sailors,Public,Both,No,No,"Docks, Union Street","Union Street, Liverpool, UK",53.4088038,-2.9948349,Sailors House,,Sailors House,"Workplaces (factory, workshops, docks etc)",Yes,Days,1837-03-10,Evening (9pm) then morning,Y,1837-03,1837,March,Friday,No
1837 - July 14,Liverpool,Political,"Whig meeting on Upper Pitt Street accompanied by 'perambulating Irish audience"", porters and market-women. Speeches on topic of ""cheap tea and no monopoly"", populist appeal to 'popular reason and rights'. Irish in crowd, along with porters and market-women. Freemen who were at the meeting and boo-ed then attacked by Whig mob. Specials sworn in. Disorder subsided by 4pm. Accusation that the police (who are run by the Whigs) allowed the disturbances to go on.",0,0,0,Meeting,Public,People,No,No,Upper Pitt Street,"Upper Pitt Street, Liverpool, UK",53.3978357,-2.9789188,Open air meeting,,Open air meeting,Streets and fields,No,Hours,1837-07-14,Afternoon (over by 4pm),Y,1837-07,1837,July,Friday,No
1837 - July 24 & 25,Liverpool,Political,"Attacks on everyone wearing conservative colours. Evidence that the mob had read 'inflamatory pamphlets' handed around in days before the election. Protestant Irish woman assaulted in Greenland Street, late Conservative candidate stoned in his carriage, woman who sells the Liverpool Mail attacked, St James Market had to be closed. Robbing respectable individuals who got drawn in by curiosity. Mass meeting with speeches. Freemen attacked by Whig mob. Specials sworn in. Disorder subsided by 4pm. Fighting police and attacking election booths. Rival groups parading around",1,0,0,"Rival mobs, freemen/electors, Police, 'respectable gentlemen', election booths",Public,Both,No,Tory supporters. Former Tory candidate,"St James Street, Paradise, White Chapel, Tithebarn, Vauxhall Road, Park Lane, Great George Street, Tithebarn Street, Moorfields, Toxteth Park and South End in general","St James Street, Liverpool, UK",53.3967169,-2.9791971,"Streets, election meeting rooms, houses, pubs",,"Streets, election meeting rooms, houses, pubs",Streets and fields,No,Days,1837-07-24,Day (10am till 4pm) and night,Y,1837-07,1837,July,Monday,Election
1839 - May 21,Liverpool,Political,Fight at Chartist meeting. Cart broken up to use as weapon,0,0,0,Chartists,Public,Both,No,No,Queen Square,"Queen Square, Liverpool, UK",53.407979,-2.983797,Open air meeting,,Open air meeting,Streets and fields,No,Hours,1839-05-21,Evening,N,1839-05,1839,May,Tuesday,No
1839 - May 22,Liverpool,Misc,Irish mob surround house trying to kill owner. Throwing bricks and stones. Owner severly beaten,0,0,0,Private home and person,Private,Both,Yes,No,Harrison Street,"Harrison Street, Liverpool, UK",53.3820691,-2.9777459,House,,House,Home,No,Hours,1839-05-22,Night,N,1839-05,1839,May,Wednesday,No
1839 - May 30 & 31,Liverpool,Identity,"Parading in carriages with flags and banners. Stoning carriages and back at houses. Revenge attacks. Particular pub attacked. Fighting. Police in the middle. Rumours spreading. Arming themselves to defend Chapel. Armed with axes, pistols, hatchets etc. Fighting on the docks.",0,0,0,"Irish locas, Ships carpenters, specific buildings/people",Public,Both,No,No,"New Bird Street, Crosby, Jordan and Starling streets. Simpson street, Blundell street, Newhall street, Park Lane, ","New Bird Street, Liverpool, UK",53.3952205,-2.9795365,"Streets, houses, pubs",,"Streets, houses, pubs",Streets and fields,No,Days,1839-05-30,Start in evening (7pm). All through next day,Y,1839-05,1839,May,Thursday,No
1840 - November 8,Liverpool,Misc,Righting between Irish factions,0,0,0,Rival Irish factions,Public,Both,No,No,Lace street,"Lace street, Liverpool, UK",53.4115545,-2.9853322,Street,,Street,Streets and fields,No,Minutes,1840-11-08,Noon or 2pm,Y,1840-11,1840,November,Sunday,No
1841 - January,Liverpool,Identity / Political,Orangemen and carpenters break up a free trade meeting,0,0,0,Free trade meeting,Public,Both,No,No,??,??,NA,NA,Meeting,,Meeting,Meeting Hall,No,Minutes,NA,??,,1841-01,1841,January,NA,No
1841 - June (early),Liverpool,Identity / Political,"South End anti-Corn Law meeting held, ships carpenters barracked the meeting and on way home smashed windows of St Patricks Catholic Church. Next day at another Anti-Corn Law League meeting even more irish in crowd and attack several people and on way home smashed windows of St James Anglican Church in Toxteth. Next day 2000 Orange and carpenters marched from docks to town centre demanding police protection from Irish attacks",0,0,0,Irish vs Ships Carpenters,Public,Both,No,No,Toxteth and Stouth End,"Toxteth, Liverpool, UK",53.3864273,-2.967451,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,NA,??,,1841-06,1841,June,NA,No
1841 - June 30,Liverpool,Political / Identity,"Attacking private homes. Stoning police. Rival political parties fighting. Armed mobs. Climbing on roofs to pelt the police below with slates, bricks, chimney etc. Fighting police. Smashing windows of rival party's pubs. Two shops broken into late at night. Unrest happened after election - raucous celebration escalates. Offices of rival newspapers attacked. Armed mobs parading. Smashing windows as they went. Respectable people and their houses attacked. Pub and drapers attacked and gutted. Enforced boycott of Tory shop (picketing outside it). ",0,0,0,Irish vs Ships Carpenters (as Reformers vs Tories). Police. Private homes. Specific pubs/shops. Respectable gentlemen and their homes,Both,Both,Yes,Election groups,"Tithebarn, Rodnet street, New Bird street, Newhall, Crosby street, Fisher street, Mersey street, Park Lane, Simpson street, Kent street, Fenton street, Town Hall, Salthouse dock. Fontenoy street, St James street. Dale street. Vauxhall road (north end). Great Crosshall street, Standish street, Sawney Pope street, Atherton street.Toxteth park. Richmond Row, Byrom street","Tithebarn, Liverpool, UK",53.4111037,-2.9883914,"Streets, houses, pubs",,"Streets, houses, pubs",Streets and fields,No,Hours/ Days,1841-06-30,"4pm starts, over by 10pm",Y,1841-06,1841,June,Wednesday,Election
1842 - June 13,Liverpool,Identity,Faction fight in Toxteth park. Police intervene are attacked,0,0,0,Rival factions. Police,Public,Both,No,No,Toxteth Park,"Toxteth Park, Liverpool, UK",53.3864273,-2.967451,Park,,Park,Streets and fields,No,Hours/minutes,1842-06-13,Evening,N,1842-06,1842,June,Monday,No
1842 - July 12,Liverpool,Identity,Orange celebration in pubs. Irish mobs meet them to fight. Parade cancelled but dissident protestants held procession anyway - were attacked,0,0,0,Orange,Public,Both,No,No,North part of the town,"North End, Liverpool, UK",NA,NA,"Streets, pubs",,"Streets, pubs",Streets and fields,No,Hours,1842-07-12,Morning (7am) and through day till evening,Y,1842-07,1842,July,Tuesday,12th July
1843 - May 30,Liverpool,Political / Identity,Chartist meeting on repeal of union attacked by carpenters' apprentices. Windows smashed,0,0,0,Chartist/Repealer meeting,Public,Both,No,No,Lord Nelson street,"Lord Nelson Street, Liverpool, UK",53.4084289,-2.9765224,Meeting,,Meeting,Meeting Hall,No,Minutes,1843-05-30,Evening,N,1843-05,1843,May,Tuesday,No
